orderid,cancelled buy,exec sell,cancelled sell,date,exec buy,,microsecond,price,side,time,inventory,time diff,ewav_for canc buy,ewav_for canc sell,ewav_for exec buy,ewav_for exec sell,ewav_for buy/sell,ewav_for sell/buy,ewav_for buy exec/total,ewav_for buy exec+canc,ewav_for sell exec/total,ewav_for sell exec+canc,ewav_back canc buy,ewav_back canc sell,ewav_back exec buy,ewav_back exec sell,ewav_back buy/sell,ewav_back sell/buy,ewav_back buy exec/total,ewav_back buy exec+canc,ewav_back sell exec/total,ewav_back sell exec+canc,sev buy,sev sell,sev net buy,sev sell/buy,sev buy/sell,IsSpoof
49182713,0,0,0,2011-04-25 00:00:00,100,,46359827000,139.7100000001,B,2011-04-25 12:52:39.827000,-2316,827000,1417.7595801784,15.4250685385,1851.6438503,0.0089055939,91.912692423,0.0108798902,0.5663552662,3269.4034304784,0.0005770124,15.4339741324,739.947318726,0.0716002914,142.8080903795,965.609703263,10334.4176984242,9.676403926971927e-05,0.1617753784,882.7554091055,0.9999258552,965.6813035544,2800,0,2800,0,inf,False
49182721,600,0,0,2011-04-25 00:00:00,0,,46360000000,139.7200000001,B,2011-04-25 12:52:40,-2316,173000,1540.7216986293,16.7628828839,1903.5637114778,0.009677975,91.912692423,0.0108798902,0.5526730467,3444.2854101071,0.0005770124,16.7725608589,1280.89350652,0.065886006,131.4108436603,888.5461980138,19441.0556082874,5.1437536116799916e-05,0.0930471138,1412.3043501803,0.9999258552,888.6120840198,2700,0,2700,0,inf,False
49182720,500,0,0,2011-04-25 00:00:00,0,,46360000000,139.7200000001,B,2011-04-25 12:52:40,-2316,0,940.7216986293,16.7628828839,1903.5637114778,0.009677975,56.1193265589,0.0178191732,0.6692590359,2844.2854101071,0.0005770124,16.7725608589,1780.89350652,0.065886006,131.4108436603,888.5461980138,27029.9205331735,3.699603921412619e-05,0.0687185822,1912.3043501803,0.9999258552,888.6120840198,2700,0,2700,0,inf,False
49182719,400,0,0,2011-04-25 00:00:00,0,,46360000000,139.7200000001,B,2011-04-25 12:52:40,-2316,0,440.7216986293,16.7628828839,1903.5637114778,0.009677975,26.2915216721,0.0380350751,0.8120016886,2344.2854101071,0.0005770124,16.7725608589,2180.89350652,0.065886006,131.4108436603,888.5461980138,33101.0124730823,3.0210556272657796e-05,0.056831119,2312.3043501803,0.9999258552,888.6120840198,2700,0,2700,0,inf,False
49182715,0,0,0,2011-04-25 00:00:00,600,,46360470000,139.7200000001,B,2011-04-25 12:52:40.470000,-1716,470000,51.0457671139,21.0127338655,2386.1693685053,0.0121316074,2.4292777627,0.4116449816,0.9790556991,2437.2151356193,0.0005770124,21.0248654729,1739.8051422517,0.0525604812,704.8328406978,708.8366487455,33101.0124730823,3.0210556272657796e-05,0.28831788,2444.6379829494,0.9999258552,708.8892092267,2700,0,2700,0,inf,False
49182716,0,0,0,2011-04-25 00:00:00,600,,46360617000,139.7200000001,B,2011-04-25 12:52:40.617000,-1116,147000,54.7838641962,22.5515027703,1916.9710957066,0.0130200087,2.4292777627,0.4116449816,0.9722156833,1971.7549599028,0.0005770124,22.564522779,1621.0920755237,0.0489740934,1256.7395996688,660.4702137131,33101.0124730823,3.02105562726578e-05,0.4366967014,2877.8316751925,0.9999258552,660.5191878065,2100,0,2100,0,inf,False
49182717,0,0,0,2011-04-25 00:00:00,600,,46360833000,139.7200000001,B,2011-04-25 12:52:40.833000,-516,216000,60.7788493226,25.0193083125,1461.0869270107,0.0144447851,2.4292777627,0.4116449816,0.960062937,1521.8657763334,0.0005770124,25.0337530976,1461.1939696919,0.0441434826,1732.7797798998,595.3240460614,33101.0124730823,3.02105562726578e-05,0.5425153479,3193.9737495917,0.9999258552,595.368189544,1500,0,1500,0,inf,False
49182718,0,0,0,2011-04-25 00:00:00,600,,46360870000,139.7200000001,B,2011-04-25 12:52:40.870000,84,37000,61.8696849255,25.4683453142,876.5413867058,0.0147040346,2.4292777627,0.4116449816,0.9340697411,938.4110716313,0.0005770124,25.4830493488,1435.4313945828,0.0433651809,2302.2288262596,584.8277801521,33101.0124730823,3.02105562726578e-05,0.6159545518,3737.6602208424,0.9999258552,584.871145333,900,0,900,0,inf,False
49182719,0,0,0,2011-04-25 00:00:00,200,,46361017000,139.7200000001,B,2011-04-25 12:52:41.017000,284,147000,66.4004208078,27.3334000032,296.7925967319,0.0157808156,2.4292777627,0.4116449816,0.8171759434,363.1930175397,0.0005770124,27.3491808187,1337.4868266595,0.040406221,2345.1395996344,544.9229094263,33101.0124730823,3.0210556272657803e-05,0.6368117013,3682.6264262939,0.9999258552,544.9633156473,300,0,300,0,inf,False
49182720,0,0,0,2011-04-25 00:00:00,100,,46361123000,139.7200000001,B,2011-04-25 12:52:41.123000,384,106000,69.8719955035,28.762456305,101.8531479372,0.0166058748,2.4292777627,0.4116449816,0.5931172681,171.7251434407,0.0005770124,28.7790621798,1271.034088479,0.0383986469,2328.6218555304,517.8485347806,33101.0124730823,3.0210556272657803e-05,0.6469012294,3599.6559440094,0.9999258552,517.8869334275,100,0,100,0,inf,False
49182722,0,0,300,2011-04-25 00:00:00,0,,46366000000,139.7500000001,S,2011-04-25 12:52:46,384,4877000,728.7833288221,300,19.3288214076,0.1732036508,2.4292777627,0.4116449816,0.0258367965,748.1121502297,0.0005770124,300.1732036508,121.8602081068,300.0036814647,223.2562812352,49.6486528474,0.406195709,2.4618674638,0.6469012294,345.116489342,0.1419943412,349.6523343121,100,0,100,0,inf,False
49182723,1900,0,0,2011-04-25 00:00:00,0,,46368000000,139.7000000001,B,2011-04-25 12:52:48,384,2000000,1906.291350889,0,50.5587375768,0.4530518309,inf,0,0.0258367965,1956.8500884658,1,0.4530518309,1946.5876782548,114.6926893073,85.3518302662,18.9808921269,16.972203634,0.0589198681,0.0420051039,2031.939508521,0.1419943412,133.6735814342,100,0,100,0,inf,False
49182723,0,0,0,2011-04-25 00:00:00,100,,46369453000,139.7000000001,B,2011-04-25 12:52:49.453000,484,1453000,12.6509651372,0,101.6660551518,0.9110194328,inf,0,0.8893343694,114.317020289,1,0.9110194328,968.0420416443,57.0369094385,142.4456401075,9.4392365533,16.972203634,0.0589198681,0.1282730484,1110.4876817519,0.1419943412,66.4761459918,100,0,100,0,inf,False
49182730,100,0,0,2011-04-25 00:00:00,0,,46375000000,139.6800000001,B,2011-04-25 12:52:55,484,5547000,182.1008092609,0,23.981568847,13.1134165783,inf,0,0.1163688476,206.0823781079,1,13.1134165783,167.2521235347,3.9624862502,9.8960286572,0.6557656336,42.208884265,0.0236916947,0.0558630081,177.1481521919,0.1419943412,4.6182518837,100,0,100,0,inf,False
49182732,100,0,0,2011-04-25 00:00:00,0,,46377000000,139.6800000001,B,2011-04-25 12:52:57,484,2000000,214.7525285026,0,62.7290107578,34.3009940199,inf,0,0.2260655283,277.4815392604,1,34.3009940199,163.9412014776,1.5148754247,3.7832940403,0.2507020037,108.2209129563,0.0092403582,0.0225565981,167.7244955179,0.1419943412,1.7655774284,100,0,100,0,inf,False
49182731,0,0,0,2011-04-25 00:00:00,100,,46377970000,139.7000000001,B,2011-04-25 12:52:57.970000,584,970000,182.9337448756,0,100,54.6812289968,inf,0,0.3534396367,282.9337448756,1,54.6812289968,102.8386939113,0.9502663681,102.3732229255,0.1572628869,108.2209129563,0.0092403582,0.4988658773,205.2119168369,0.1419943412,1.107529255,100,0,100,0,inf,False
49182734,100,0,0,2011-04-25 00:00:00,0,,46379000000,139.7000000001,B,2011-04-25 12:52:59,584,1030000,300.1602038987,0,0,89.7217123953,inf,0,0,300.1602038987,1,89.7217123953,162.6754218279,0.5791433478,62.3917388165,0.0958444472,280.8897355986,0.0035601159,0.2772138709,225.0671606444,0.1419943412,0.674987795,0,400,-400,inf,0,False
49182735,100,0,0,2011-04-25 00:00:00,0,,46380000000,139.7000000001,B,2011-04-25 12:53:00,584,1000000,323.7227035712,0,0,145.1085417576,inf,0,0,323.7227035712,1,145.1085417576,200.5834476333,0.3580887262,38.5772855142,0.059261349,560.1501330175,0.0017852357,0.1613027565,239.1607331476,0.1419943412,0.4173500752,0,400,-400,inf,0,False
49182738,100,0,0,2011-04-25 00:00:00,0,,46381000000,139.7100000001,B,2011-04-25 12:53:01,584,1000000,361.8307587607,0,0,234.6866586568,inf,0,0,361.8307587607,1,234.6866586568,224.02226762,0.2214089765,23.8526283427,0.0366417417,1011.8030045274,0.0009883347,0.0962284956,247.8748959627,0.1419943412,0.2580507182,0,584,-584,inf,0,False
49182739,100,0,0,2011-04-25 00:00:00,0,,46381000000,139.7100000001,B,2011-04-25 12:53:01,584,0,261.8307587607,0,0,234.6866586568,inf,0,0,261.8307587607,1,234.6866586568,324.02226762,0.2214089765,23.8526283427,0.0366417417,1463.4558760373,0.0006833141,0.0685666848,347.8748959627,0.1419943412,0.2580507182,0,584,-584,inf,0,False
49182736,100,0,0,2011-04-25 00:00:00,0,,46381000000,139.7100000001,B,2011-04-25 12:53:01,584,0,161.8307587607,0,0,234.6866586568,inf,0,0,161.8307587607,1,234.6866586568,424.02226762,0.2214089765,23.8526283427,0.0366417417,1915.1087475472,0.0005221636,0.0532573461,447.8748959627,0.1419943412,0.2580507182,0,584,-584,inf,0,False
49182740,100,0,0,2011-04-25 00:00:00,0,,46382000000,139.7100000001,B,2011-04-25 12:53:02,584,1000000,100,0,0,379.5629608318,inf,0,0,100,1,379.5629608318,362.1761853837,0.1368988501,14.7482610887,0.0226558669,2645.5750729858,0.0003779897,0.0391278975,376.9244464723,0.1419943412,0.159554717,0,584,-584,inf,0,False
49182729,0,400,0,2011-04-25 00:00:00,0,,46382350000,139.7400000001,S,2011-04-25 12:53:02.350000,184,350000,0,0,0,449.1198230134,inf,inf,1,0,1,449.1198230134,306.0846086566,0.1156968146,12.4641428837,400.0191470683,2645.5750729858,0.0003779897,0.0391278975,318.5487515403,0.9997108554,400.1348438829,0,584,-584,inf,0,TRUE
49182742,0,184,0,2011-04-25 00:00:00,0,,46385097000,139.7400000001,S,2011-04-25 12:53:05.097000,0,2747000,0,0,0,184,inf,inf,1,0,1,184,81.7109880671,0.0308859079,3.3273722416,290.7873353586,2645.5750729858,0.0003779897,0.0391278975,85.0383603088,0.9998937965,290.8182212665,0,184,-184,inf,0,TRUE
