date,orderid,id,order_time,side,symbol,account,order_shares,orderstatus,tif,exec_shares,exec_last_time,explicit_cxl_time,fill_rate,auto_cxl_time,cxl_time,hidden
2013-01-14 00:00:00.000,4606383843,jguber,1900-01-01 14:04:11.851,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.007,,1.0,,,False
2013-01-14 00:00:00.000,4606383844,jguber,1900-01-01 14:04:11.852,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.022,,1.0,,,False
2013-01-14 00:00:00.000,4606383848,jguber,1900-01-01 14:04:11.852,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:12.025,1900-01-01 14:04:12.029,1.0,,1900-01-01 14:04:12.029,False
2013-01-14 00:00:00.000,4606383845,jguber,1900-01-01 14:04:11.853,S,DELL,5AO05043,300,PLACED,DAY,300.0,1900-01-01 14:04:12.019,,1.0,,,False
2013-01-14 00:00:00.000,4606383847,jguber,1900-01-01 14:04:11.854,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.005,,1.0,,,False
2013-01-14 00:00:00.000,4606383865,DSCHWARZ,1900-01-01 14:04:11.988,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:11.988,1900-01-01 14:04:11.988,True
2013-01-14 00:00:00.000,4606383875,DSCHWARZ,1900-01-01 14:04:11.996,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:11.996,1900-01-01 14:04:11.996,True
2013-01-14 00:00:00.000,4606383879,DSCHWARZ,1900-01-01 14:04:12.009,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:12.009,1900-01-01 14:04:12.009,True
2013-01-14 00:00:00.000,4606383919,jguber,1900-01-01 14:04:12.189,S,DELL,5AO05043,200,PLACED,DAY,100.0,1900-01-01 14:04:12.000,,0.5,,,False
2013-01-14 00:00:00.000,4606383920,jguber,1900-01-01 14:04:12.189,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:12.000,1900-01-01 14:04:12.199,1.0,,1900-01-01 14:04:12.199,False
2013-01-14 00:00:00.000,4606383921,jguber,1900-01-01 14:04:12.190,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.195,,1.0,,,False
2013-01-14 00:00:00.000,4606383923,jguber,1900-01-01 14:04:12.191,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:12.196,1900-01-01 14:04:12.203,1.0,,1900-01-01 14:04:12.203,False
2013-01-14 00:00:00.000,4606383922,jguber,1900-01-01 14:04:12.191,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.196,,1.0,,,False
2013-01-14 00:00:00.000,4606383925,jguber,1900-01-01 14:04:12.192,S,DELL,5AO05043,300,PLACED,DAY,300.0,1900-01-01 14:04:12.198,,1.0,,,False
2013-01-14 00:00:00.000,4606383926,jguber,1900-01-01 14:04:12.193,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.198,,1.0,,,False
2013-01-14 00:00:00.000,4606383936,DSCHWARZ,1900-01-01 14:04:12.255,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:12.255,1900-01-01 14:04:12.255,True
2013-01-14 00:00:00.000,4606383945,DSCHWARZ,1900-01-01 14:04:12.263,B,DELL,5AO05094,1000,PLACED,IOC,1000.0,1900-01-01 14:04:12.271,,1.0,,,True
2013-01-14 00:00:00.000,4606383960,DSCHWARZ,1900-01-01 14:04:12.291,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:12.291,1900-01-01 14:04:12.291,True
2013-01-14 00:00:00.000,4606383962,DSCHWARZ,1900-01-01 14:04:12.299,B,DELL,5AO05094,1000,PLACED,IOC,1000.0,1900-01-01 14:04:12.322,,1.0,,,True
2013-01-14 00:00:00.000,4606383963,DSCHWARZ,1900-01-01 14:04:12.327,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:12.327,1900-01-01 14:04:12.327,True
2013-01-14 00:00:00.000,4606383965,DSCHWARZ,1900-01-01 14:04:12.335,B,DELL,5AO05094,1000,PLACED,IOC,1000.0,1900-01-01 14:04:12.349,,1.0,,,True
2013-01-14 00:00:00.000,4606383974,DSCHWARZ,1900-01-01 14:04:12.365,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:12.365,1900-01-01 14:04:12.365,True
2013-01-14 00:00:00.000,4606383977,DSCHWARZ,1900-01-01 14:04:12.374,B,DELL,5AO05094,1000,PLACED,IOC,1000.0,1900-01-01 14:04:12.386,,1.0,,,True
2013-01-14 00:00:00.000,4606383984,DSCHWARZ,1900-01-01 14:04:12.405,B,DELL,5AO05094,1000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:12.405,1900-01-01 14:04:12.405,True
2013-01-14 00:00:00.000,4606383988,DSCHWARZ,1900-01-01 14:04:12.415,B,DELL,5AO05094,1000,PLACED,IOC,1000.0,1900-01-01 14:04:12.424,,1.0,,,True
2013-01-14 00:00:00.000,4606384782,jguber,1900-01-01 14:04:12.906,S,DELL,5AO05043,100,UR OUT,DAY,0.0,,1900-01-01 14:04:12.919,0.0,,1900-01-01 14:04:12.919,False
2013-01-14 00:00:00.000,4606384778,jguber,1900-01-01 14:04:12.906,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.000,,1.0,,,False
2013-01-14 00:00:00.000,4606384779,jguber,1900-01-01 14:04:12.907,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.913,,1.0,,,False
2013-01-14 00:00:00.000,4606384781,jguber,1900-01-01 14:04:12.908,S,DELL,5AO05043,200,PLACED,DAY,100.0,1900-01-01 14:04:12.916,,0.5,,,False
2013-01-14 00:00:00.000,4606384783,jguber,1900-01-01 14:04:12.908,S,DELL,5AO05043,100,UR OUT,DAY,0.0,,1900-01-01 14:04:12.924,0.0,,1900-01-01 14:04:12.924,False
2013-01-14 00:00:00.000,4606384780,jguber,1900-01-01 14:04:12.909,S,DELL,5AO05043,300,PLACED,DAY,300.0,1900-01-01 14:04:12.913,,1.0,,,False
2013-01-14 00:00:00.000,4606384784,jguber,1900-01-01 14:04:12.910,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.916,,1.0,,,False
2013-01-14 00:00:00.000,4606384789,jguber,1900-01-01 14:04:12.928,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:12.000,,1.0,,,False
2013-01-14 00:00:00.000,4606384790,jguber,1900-01-01 14:04:12.937,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:12.940,,1.0,,,False
2013-01-14 00:00:00.000,4606385168,mkolibas,1900-01-01 14:04:13.861,B,DELL,5AO05062,2000,UR OUT,DAY,0.0,,1900-01-01 14:04:14.476,0.0,,1900-01-01 14:04:14.476,False
2013-01-14 00:00:00.000,4606384688,greena,1900-01-01 14:04:13.991,B,DELL,5AO05041,1000,UR OUT,DAY,0.0,,1900-01-01 14:04:14.471,0.0,,1900-01-01 14:04:14.471,False
2013-01-14 00:00:00.000,4606384791,jguber,1900-01-01 14:04:14.315,S,DELL,5AO05043,200,UR OUT,DAY,0.0,,1900-01-01 14:04:14.654,0.0,,1900-01-01 14:04:14.654,False
2013-01-14 00:00:00.000,4606384793,jguber,1900-01-01 14:04:14.316,S,DELL,5AO05043,100,UR OUT,DAY,0.0,,1900-01-01 14:04:14.654,0.0,,1900-01-01 14:04:14.654,False
2013-01-14 00:00:00.000,4606384792,jguber,1900-01-01 14:04:14.316,S,DELL,5AO05043,200,UR OUT,DAY,0.0,,1900-01-01 14:04:14.654,0.0,,1900-01-01 14:04:14.654,False
2013-01-14 00:00:00.000,4606384794,jguber,1900-01-01 14:04:14.317,S,DELL,5AO05043,300,UR OUT,DAY,0.0,,1900-01-01 14:04:14.654,0.0,,1900-01-01 14:04:14.654,False
2013-01-14 00:00:00.000,4606384795,jguber,1900-01-01 14:04:14.318,S,DELL,5AO05043,200,UR OUT,DAY,0.0,,1900-01-01 14:04:14.653,0.0,,1900-01-01 14:04:14.653,False
2013-01-14 00:00:00.000,4606384796,jguber,1900-01-01 14:04:14.523,S,DELL,5AO05043,200,UR OUT,DAY,0.0,,1900-01-01 14:04:15.750,0.0,,1900-01-01 14:04:15.750,False
2013-01-14 00:00:00.000,4606384797,jguber,1900-01-01 14:04:14.524,S,DELL,5AO05043,200,UR OUT,DAY,0.0,,1900-01-01 14:04:15.750,0.0,,1900-01-01 14:04:15.750,False
2013-01-14 00:00:00.000,4606384799,jguber,1900-01-01 14:04:14.525,S,DELL,5AO05043,100,UR OUT,DAY,0.0,,1900-01-01 14:04:15.750,0.0,,1900-01-01 14:04:15.750,False
2013-01-14 00:00:00.000,4606384798,jguber,1900-01-01 14:04:14.525,S,DELL,5AO05043,300,UR OUT,DAY,0.0,,1900-01-01 14:04:15.750,0.0,,1900-01-01 14:04:15.750,False
2013-01-14 00:00:00.000,4606384800,jguber,1900-01-01 14:04:14.526,S,DELL,5AO05043,200,UR OUT,DAY,0.0,,1900-01-01 14:04:15.749,0.0,,1900-01-01 14:04:15.749,False
2013-01-14 00:00:00.000,4606385085,BINGRAM,1900-01-01 14:04:15.010,S,DELL,5AO05053,100,UR OUT,DAY,0.0,,1900-01-01 14:09:55.544,0.0,,1900-01-01 14:09:55.544,False
